"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Cole Hamels","Rangers","1","1","3.38","2","2","0","0","0","0","0","10.2","45","9","4","4","3","7","0","0","0","0","18","4972"
"Jameson Taillon","Pirates","1","0","3.38","1","1","0","0","0","0","0","5.1","20","4","2","2","1","0","0","0","1","0","9","11674"
"Chase Anderson","Brewers","0","0","3.60","2","2","0","0","0","0","0","10.0","43","9","4","4","3","3","0","1","0","0","11","6895"
"Marco Estrada","Blue Jays","0","0","3.86","1","1","0","0","0","0","0","7.0","27","4","3","3","2","3","0","0","0","0","2","1118"
"Marco Gonzales","Mariners","1","0","4.26","1","1","0","0","0","0","0","6.1","23","6","3","3","2","0","0","0","0","0","2","15467"
"Clayton Richard","Padres","0","1","4.50","2","2","0","0","0","0","0","12.0","51","14","6","6","0","4","1","0","1","0","10","3551"
"Tyson Ross","Padres","1","0","4.50","1","1","0","0","0","0","0","6.0","24","5","3","3","0","3","0","0","0","0","2","7872"
"Sal Romano","Reds","0","1","4.50","1","1","0","0","0","0","0","6.0","25","4","3","3","2","4","1","0","0","0","2","13690"
"Lucas Giolito","White Sox","0","0","4.50","1","1","0","0","0","0","0","6.0","26","4","3","3","0","4","0","1","1","0","1","15474"
"Jose Urena","Marlins","0","1","4.91","2","2","0","0","0","0","0","11.0","49","10","6","6","2","5","2","3","0","0","9","11589"
"Blake Snell","Rays","0","1","5.00","2","2","0","0","0","0","0","9.0","38","7","5","5","2","5","0","0","0","0","7","13543"
"Garrett Richards","Angels","1","0","5.06","2","2","0","0","0","0","0","10.2","48","8","6","6","3","7","0","1","1","0","13","9784"
"Alex Wilson","Tigers","0","1","5.06","2","0","0","0","0","0","0","5.1","20","5","3","3","1","0","0","0","0","0","3","9239"
"Noah Syndergaard","Mets","1","0","5.40","2","2","0","0","0","0","0","10.0","42","10","6","6","2","2","0","0","0","0","17","11762"
"Carson Fulmer","White Sox","0","0","5.40","1","1","0","0","0","0","0","5.0","21","5","3","3","0","1","0","0","0","0","5","18311"
"Aaron Sanchez","Blue Jays","0","1","5.40","2","2","0","0","0","0","0","11.2","52","13","7","7","1","6","0","2","0","0","9","11490"
"J.A. Happ","Blue Jays","1","1","5.40","2","2","0","0","0","0","0","10.0","44","11","7","6","3","2","0","1","0","0","14","7410"
"Odrisamer Despaigne","Marlins","1","0","5.63","3","1","0","0","0","0","0","8.0","33","9","6","5","1","2","0","0","0","0","7","16017"
"Ty Blach","Giants","1","1","5.79","2","2","0","0","0","0","0","9.1","42","13","6","6","0","5","0","0","0","0","5","14361"
"Jordan Zimmermann","Tigers","0","0","6.00","1","1","0","0","0","0","0","6.0","24","6","4","4","0","1","0","0","0","0","8","4505"
"James Shields","White Sox","1","0","6.00","1","1","0","0","0","0","0","6.0","25","5","4","4","1","1","0","1","0","0","0","7059"
"Ivan Nova","Pirates","0","1","6.10","2","2","0","0","0","0","0","10.1","46","11","7","7","1","4","0","0","1","0","7","1994"
"Chad Kuhl","Pirates","1","0","6.35","1","1","0","0","0","0","0","5.2","25","8","4","4","1","0","0","0","0","0","4","14975"
"Chris Archer","Rays","0","0","6.55","2","2","0","0","0","0","0","11.0","47","12","8","8","2","4","0","0","0","0","14","6345"
"Jhoulys Chacin","Brewers","0","1","7.00","2","2","0","0","0","0","0","9.0","46","14","10","7","3","4","0","1","0","0","6","2608"
"Felix Hernandez","Mariners","1","1","7.71","2","2","0","0","0","0","0","9.1","43","8","8","8","3","7","0","0","1","0","5","4772"
"Kendall Graveman","Athletics","0","1","8.10","2","2","0","0","0","0","0","10.0","43","15","9","9","4","1","0","0","1","0","2","15514"
"Jason Hammel","Royals","0","1","9.00","1","1","0","0","0","0","0","5.0","26","7","5","5","0","3","2","0","0","0","3","4538"
"Miguel Gonzalez","White Sox","0","1","9.00","1","1","0","0","0","0","0","5.0","25","8","6","5","2","2","0","0","0","0","4","7024"
"Jose Quintana","Cubs","0","1","9.00","1","1","0","0","0","0","0","6.0","27","6","6","6","0","4","1","0","1","0","2","11423"
"Julio Teheran","Braves","0","0","10.13","2","2","0","0","0","0","0","8.0","39","10","9","9","4","6","0","1","1","0","5","6797"
"Luis Castillo","Reds","0","1","10.80","1","1","0","0","0","0","0","5.0","22","6","6","6","2","1","0","0","0","0","6","15689"
"Danny Duffy","Royals","0","1","11.25","1","1","0","0","0","0","0","4.0","20","7","5","5","3","2","0","0","0","0","5","3542"
